Date,Country,City,Product,UnitsSold,Revenue
2023-03-01,USA,New York,Laptop,110,55000
2023-03-02,USA,Los Angeles,Phone,160,32000
2023-03-03,USA,Chicago,Tablet,,66000
2023-03-04,USA,New York,Laptop,120,60000
2023-03-05,USA,Los Angeles,Phone,150,30000
2023-03-06,USA,Chicago,Tablet,200,60000
2023-03-07,USA,Miami,Desktop,180,72000
2023-03-08,USA,New York,Laptop,130,65000
2023-03-09,USA,Los Angeles,Phone,170,34000
2023-03-10,USA,Chicago,Tablet,240,72000
2023-03-11,USA,Miami,Desktop,210,84000
2023-03-12,USA,New York,Laptop,140,70000
2023-03-13,USA,Los Angeles,Phone,,36000
2023-03-14,USA,Chicago,Tablet,230,69000
2023-03-15,USA,Miami,Desktop,230,92000
2023-03-16,USA,New York,Laptop,150,75000
2023-03-17,USA,Los Angeles,Phone,190,38000
2023-03-18,USA,Chicago,Tablet,250,75000
2023-03-19,USA,Miami,Desktop,250,100000
2023-03-20,USA,New York,Laptop,160,80000
2023-03-21,USA,Los Angeles,Phone,200,40000
2023-03-22,USA,Chicago,Tablet,260,78000
2023-03-23,USA,Miami,Desktop,270,108000
2023-03-24,USA,New York,Laptop,170,85000
2023-03-25,USA,Los Angeles,Phone,210,42000
2023-03-26,USA,Chicago,Tablet,270,81000
2023-03-27,USA,Miami,Desktop,280,112000
2023-03-28,USA,New York,Laptop,180,90000
2023-03-01,USA,New York,Laptop,110,55000
2023-03-02,USA,Los Angeles,Phone,160,32000
2023-03-03,USA,Chicago,Tablet,,66000
2023-03-04,USA,New York,Laptop,120,60000
2023-03-05,USA,Los Angeles,Phone,150,30000
2023-03-06,USA,Chicago,Tablet,200,60000
2023-03-07,USA,Miami,Desktop,180,72000
2023-03-08,USA,New York,Laptop,130,65000
2023-03-09,USA,Los Angeles,Phone,170,34000
2023-03-10,USA,Chicago,Tablet,240,72000
2023-03-11,USA,Miami,Desktop,210,84000
2023-03-12,USA,New York,Laptop,140,70000
2023-03-13,USA,Los Angeles,Phone,,36000
2023-03-14,USA,Chicago,Tablet,230,69000
2023-03-15,USA,Miami,Desktop,230,92000
2023-03-16,USA,New York,Laptop,150,75000
2023-03-17,USA,Los Angeles,Phone,190,38000
2023-03-18,USA,Chicago,Tablet,250,75000
2023-03-19,USA,Miami,Desktop,250,100000
2023-03-20,USA,New York,Laptop,160,80000
2023-03-21,USA,Los Angeles,Phone,200,40000
2023-03-22,USA,Chicago,Tablet,260,78000
2023-03-23,USA,Miami,Desktop,270,108000
2023-03-24,USA,New York,Laptop,170,85000
2023-03-25,USA,Los Angeles,Phone,210,42000
2023-03-26,USA,Chicago,Tablet,270,81000
2023-03-27,USA,Miami,Desktop,280,112000
2023-03-28,USA,New York,Laptop,180,90000
